Rules	 Support 	 Confidence 	 Lift
[' CHOCOLATOS DARK '] -> ['KACANG KORO ORIGINAL']	0.0014614541468761417	0.06349206349206349	3.949494949494949
[' CHOCOLATOS DARK '] -> ['KACANG KORO PEDAS']	0.0029229082937522835	0.12698412698412698	5.1873963515754555
[' CHOCOLATOS DARK '] -> ['MIE KREMEZ AYAM PANGGANG']	0.0010960906101571063	0.047619047619047616	5.430555555555555
[' CHOCOLATOS DARK '] -> ['OREO CHOCO CREME29.4G']	0.0014614541468761417	0.06349206349206349	4.696696696696697
[' CHOCOLATOS DARK '] -> ['PRINT HITAM PUTIH UMUM']	0.0010960906101571063	0.047619047619047616	0.5593705293276109
[' CHOCOLATOS DARK '] -> ['RICHEESE NABATI CHEESE WAFER']	0.0014614541468761417	0.06349206349206349	4.238482384823848
[' CHOCOLATOS DARK '] -> ['RICHOCO NABATI CHOCOLATE WAFER']	0.001826817683595177	0.07936507936507936	5.051679586563307
[' CHOCOLATOS DARK '] -> ['SARI GANDUM SUSU&COKLAT 39GR']	0.0014614541468761417	0.06349206349206349	2.7583774250440913
[' CHOCOLATOS DARK '] -> ['ULTRA MILK COKELAT 200ML']	0.0010960906101571063	0.047619047619047616	1.7149122807017543
[' CHOCOLATOS DARK '] -> ['YOGHURT']	0.004384362440628425	0.19047619047619047	1.7320044296788482
[' FULLO FULL VANILA'] -> ['AQUA BOTOL 600ML']	0.003288271830471319	0.2368421052631579	1.4092105263157895
[' FULLO FULL VANILA'] -> ['BENG-BENG COKLAT']	0.001826817683595177	0.13157894736842105	4.2368421052631575
[' FULLO FULL VANILA'] -> ['CHAMP SOSIS RASA SAPI']	0.0010960906101571063	0.07894736842105264	6.970288624787776
[' FULLO FULL VANILA'] -> ['FULLO COKLAT']	0.003653635367190354	0.2631578947368421	26.67641325536062
[' FULLO FULL VANILA'] -> ['FULLO STRAWBERRY & CHOCOLATE ']	0.001826817683595177	0.13157894736842105	8.57456140350877
[' FULLO FULL VANILA'] -> ['FULLO VANILA COKLAT']	0.005115089514066497	0.368421052631579	28.810526315789478
[' FULLO FULL VANILA'] -> ['GOOD TIME DOUBLE CHOCOCHIPS SMALL']	0.0010960906101571063	0.07894736842105264	3.7908587257617734
[' FULLO FULL VANILA'] -> ['RICHEESE NABATI CHEESE WAFER']	0.0014614541468761417	0.10526315789473684	7.026957637997432
[' FULLO FULL VANILA'] -> ['RICHOCO NABATI CHOCOLATE WAFER']	0.0010960906101571063	0.07894736842105264	5.025091799265606
[' FULLO FULL VANILA'] -> ['YOGHURT']	0.0025575447570332483	0.1842105263157895	1.675030599755202
[' GOOD DAY TIRAMISU BLISS COFFE'] -> ['AQUA BOTOL 600ML']	0.0014614541468761417	0.21052631578947367	1.2526315789473683
[' GOOD DAY TIRAMISU BLISS COFFE'] -> ['YOGHURT']	0.0010960906101571063	0.15789473684210528	1.4357405140758874
[' GOODTIME RAINBOW CHOCOCHIPS'] -> ['YOGHURT']	0.0025575447570332483	0.3888888888888889	3.536175710594315
[' HOLDER ID CARD'] -> ['TALI ID CARD']	0.010960906101571063	0.8571428571428572	39.1
[' KACANG KORO RUMPUT LAUT'] -> ['ES LILIN']	0.0010960906101571063	0.23076923076923078	2.084539223153085
[' KACANG KORO RUMPUT LAUT'] -> ['KACANG KORO ORIGINAL']	0.0014614541468761417	0.3076923076923077	19.13986013986014
[' KACANG KORO RUMPUT LAUT'] -> ['KACANG KORO PEDAS']	0.0010960906101571063	0.23076923076923078	9.427095292766936
[' KACANG KORO RUMPUT LAUT'] -> ['YOGHURT']	0.0010960906101571063	0.23076923076923078	2.098389982110912
[' KACANG SUKRO BBQ'] -> [' OISHI SPONGE COKLAT 28 GR']	0.0014614541468761417	0.07017543859649122	4.175438596491228
[' KACANG SUKRO BBQ'] -> ['AQUA BOTOL 600ML']	0.0047497259773474606	0.22807017543859648	1.357017543859649
[' KACANG SUKRO BBQ'] -> ['BETTER VANILA CREAM']	0.001826817683595177	0.08771929824561403	3.1590489381348106
[' KACANG SUKRO BBQ'] -> ['CHUBA BALADO']	0.001826817683595177	0.08771929824561403	2.79171766625867
[' KACANG SUKRO BBQ'] -> ['CHUBA KEJU']	0.001826817683595177	0.08771929824561403	3.47953216374269
[' KACANG SUKRO BBQ'] -> ['ES LILIN']	0.0010960906101571063	0.05263157894736842	0.47542122633315964
